id,title,rating,reviews,typeLocation,link
d8132288,Khách sạn Jazz,4.0,214.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d8132288-Reviews-Jazz_Hotel-Da_Nang.html?
d5964945,Khách sạn Thalassa Boutique,4.1,81.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d5964945-Reviews-Thalassa_Boutique_Hotel-Da_Nang.html?
d7174378,Tay Bac Hotel,3.8,40.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d7174378-Reviews-Tay_Bac_Hotel-Da_Nang.html?
d3515399,Khách sạn Jay Grand,3.7,10.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d3515399-Reviews-Jay_Grand_Hotel-Da_Nang.html?
d8112542,Gold Luxury Hotel,3.3,40.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d8112542-Reviews-Gold_Luxury_Hotel-Da_Nang.html?
d19096949,RHM Luxury Đà Nẵng,3.3,10.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d19096949-Reviews-RHM_Luxury_Da_N_ng-Da_Nang.html?
d19096949,RHM Luxury Đà Nẵng,3.3,10.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d19096949-Reviews-RHM_Luxury_Da_N_ng-Da_Nang.html?
d1978058,Sea Wonder Hotel,4.0,117.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d1978058-Reviews-Sea_Wonder_Hotel-Da_Nang.html?
d17484084,CN Palace Boutique Hotel & Spa,4.0,20.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d17484084-Reviews-CN_Palace_Boutique_Hotel_Spa-Da_Nang.html?
d3490083,Khách sạn Seventeen Saloon,3.3,36.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d3490083-Reviews-Seventeen_Saloon_Hotel-Da_Nang.html?
d11981687,5D Upper Dorm,4.1,14.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d11981687-Reviews-5D_Upper_Dorm-Da_Nang.html?
d12338937,Khách sạn Hemera Boutique,4.2,13.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d12338937-Reviews-Hemera_Boutique_Hotel-Da_Nang.html?
d10424492,Khách sạn Hoa Phong,4.1,18.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d10424492-Reviews-Hoa_Phong_Hotel-Da_Nang.html?
d23975733,Angel Hotels Beach Đà Nẵng,4.0,16.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d23975733-Reviews-Angel_Hotels_Beach_Danang-Da_Nang.html?
d6585545,Khách sạn Suite De Ville,3.5,46.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d6585545-Reviews-Suite_De_Ville_Da_Nang_Beach-Da_Nang.html?
d17790244,Dreamy Sky Boutique Hotel,3.3,7.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d17790244-Reviews-Dreamy_Sky_Boutique_Hotel-Da_Nang.html?
d5981980,Truong Son Tung 2 Hotel,3.4,15.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d5981980-Reviews-Truong_Son_Tung_2_Hotel-Da_Nang.html?
d3210927,Sun Moon Hotel & Hostel,4.2,16.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d3210927-Reviews-Sun_Moon_Hotel_Hostel-Da_Nang.html?
d8860867,Moonshine Beach Hostel,4.1,29.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d8860867-Reviews-Moonshine_Beach_Hostel-Da_Nang.html?
d12430718,Khách Sạn Merry Land,4.0,26.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d12430718-Reviews-Merry_Land_Hotel-Da_Nang.html?
d3357810,Khách sạn Champa,3.6,30.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d3357810-Reviews-Champa_Hotel-Da_Nang.html?
d456972,Khách sạn Hoàng Gia Đà Nẵng,2.9,37.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d456972-Reviews-Royal_Hotel_Danang-Da_Nang.html?
d1570954,Khách sạn Varna,3.5,29.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d1570954-Reviews-Varna_Hotel-Da_Nang.html?
d14068043,Khách sạn Bình Dương,3.5,27.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d14068043-Reviews-Hotel_Binh_Duong-Da_Nang.html?
d9808277,Khách sạn Kingdom,3.8,22.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d9808277-Reviews-Kingdom_Hotel-Da_Nang.html?
d12006927,Khách Sạn Avora,4.3,152.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d12006927-Reviews-AVORA_Hotel_Danang-Da_Nang.html?
d15815450,The Eatery,4.9,227.0,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d15815450-Reviews-The_Eatery-Da_Nang.html
d8132659,The Blossom Resort Island - All Inclusive,4.6,481.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d8132659-Reviews-The_Blossom_Resort_Island_All_Inclusive-Da_Nang.html?
d26347664,Nia Cafe Da Nang,4.9,39.0,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d26347664-Reviews-Nia_Cafe_Da_Nang-Da_Nang.html
d6637090,Nuong Da Thanh,4.3,128.0,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d6637090-Reviews-Nuong_Da_Thanh-Da_Nang.html
